Ident,Lat,Lon,Alt
YPEC,-33.06590410,151.64633292,3
LIAP,42.37988366,13.30921805,674
SNJM,-20.25972222,-42.18388889,830
SDBP,-22.97884450,-46.53712650,880
SBBP,-22.97916667,-46.53750000,880
SDYS,-27.17361111,-48.63111111,10
SDNT,-15.68166667,-47.76888889,1086
SJGA,-3.70222222,-56.05388889,40
MRAO,10.42009600,-83.60986000,25
36IL,41.97086000,-88.49174834,276
MN89,46.61662611,-95.65032139,419
SNZE,-3.17194444,-52.19166667,112
SNTB,-7.72361112,-37.61888889,562
SBCT,-25.52888475,-49.17306200,911
SNTG,-8.61055555,-41.00027778,519
KAFO,42.70876950,-110.94216775,1896
AGAF,-9.19109700,160.94904599,6
LTAH,38.72642500,30.60111175,1009
NE19,41.60213032,-102.82598481,1113
79TX,26.07313350,-97.53748600,9
7TS9,29.05414305,-95.96245639,15
LS18,30.22104027,-92.77486639,6
94MN,46.57662694,-96.51201501,293
FY02,-20.01980000,13.73225000,608
GMAD,30.32262350,-9.41152806,76
WXY6,-4.02322487,137.95383280,2798
VEAT,23.88697750,91.24044850,14
ED01,47.55312753,10.27268272,729
VOAT,10.82365850,72.17603500,4
UDYA,39.97676500,47.00211419,293
HL58,30.76507200,20.19143300,15
LFBA,44.17402500,0.59296100,62
FAAG,-29.28148300,18.81444900,807
MN04,45.77357388,-95.26281112,423
OIAG,30.74544600,49.67608750,27
51OH,41.07032861,-84.08633334,226
FD2,55.81668100,-112.51669300,556
YAWT,-24.20220038,151.89253088,9
YAGN,-12.14544135,142.14933797,48
VIAG,27.15779875,77.96114500,168
LTCO,39.65457050,43.02715100,1665
XS42,28.92941444,-99.08031028,198
SJSS,-12.50833333,-55.69527778,335
LGAG,38.60207050,21.35119200,47
SIHW,-21.21888888,-47.87638889,543
SWBW,-14.76833333,-60.03444444,272
5CA7,36.33597200,-120.24708450,102
SIZU,-13.43583333,-54.27666668,435
SWAF,-16.48388889,-54.66722222,252
SJRJ,-7.64027778,-56.78777778,229
SNTP,-2.52527778,-48.75194444,20
SDRO,-16.46555556,-54.71194443,315
SNMF,-21.35055555,-46.25055556,866
SDUA,-3.50861111,-56.31583333,33
SJSF,-19.84138889,-49.68833333,399
SWHE,-10.73444444,-54.53444444,412
SNLJ,-9.51666667,-61.25000000,1045
SIZS,-13.53750000,-53.43916667,366
SNLK,-9.71583333,-61.04666667,1005
SWAH,-10.14166667,-60.65277778,99
SNOL,-9.97111111,-56.21000000,305
SSYQ,-28.37888889,-52.87944444,534
SWQH,-10.14722222,-60.53861111,243
SJRK,-9.23222222,-50.93027778,262
SWNF,-10.89194444,-55.56416668,315
SJHU,-13.87861111,-60.09638889,350
SWZA,-11.36694444,-58.11722222,300
SIUL,-6.77555556,-45.89166667,587
SNAV,-9.50416667,-40.36944444,393
SILS,-6.39083333,-56.28500000,203
SCKO,-37.99396975,-72.25005279,374
L54,32.95004999,-116.29334639,372
L70,34.50356550,-118.31304300,811
SJYE,4.62055555,-60.27722222,303
MM65,31.25142975,-109.61140275,1269
MM75,31.24292350,-109.62508850,1219
TJBQ,18.49482500,-67.12921550,72
MMAL,26.33396500,-99.54243600,206
MM44,26.30440250,-99.55019300,206
SJXB,-15.75638888,-58.80194444,183
SKOC,8.31506100,-73.35833200,1173
SJQL,-19.31972222,-47.55305556,950
SJXH,-27.21694444,-53.27250000,346
SWIV,-1.26805556,-53.26138889,146
RORA,26.58888100,127.24221900,12
7FD9,30.62437444,-83.28681417,30
1CA4,33.86946305,-114.52690112,91
NTHE,-14.42805550,-146.25694450,3
CL84,37.38827000,-120.92742723,22
66MO,38.83199416,-90.95124945,201
VAAH,23.07719600,72.63463200,58
EFAH,64.89500000,25.75580000,29
EDHO,53.70214080,9.74335797,10
OIAW,31.33743050,48.76194900,20
WX03,-4.33333300,137.83258100,848
LOXA,47.53300000,14.13300000,610
85GA,34.17232833,-83.73100500,311
KAIK,33.64927850,-81.68438900,161
YALR,-22.65127972,133.34652875,666
DAAS,36.17812900,5.32449300,1024
DAAQ,35.52543550,2.87874600,650
06TE,30.31270850,-95.02687500,39
KANW,42.57952116,-99.99255559,789
AIE,-5.14150900,144.73204000,107
GQNA,16.71129300,-9.63788200,290
5GA4,34.10593138,-84.44853973,280
52KY,38.11813277,-84.30243250,274
49CO,40.09331555,-104.37523195,1457
LL09,42.28057833,-88.09452389,244
W88,36.17096861,-79.79558750,251
6PA6,41.35008333,-75.48296223,472
F69,33.02347200,-96.83694450,212
0IN4,41.12782666,-84.94718806,229
0D9,44.95834138,-84.95837973,358
4MI1,41.83060333,-83.68743751,207
60TA,32.32514150,-96.94750000,204
NV23,39.87213000,-119.70102250,1311
WI69,42.80001472,-88.33342695,250
UT07,40.42496000,-109.59236112,1768
96MN,43.56801305,-93.25437195,378
JY07,40.69565472,-75.13239667,110
CO73,38.10000999,-102.21713278,1100
81G,42.77364555,-84.89999306,260
KILN,39.42762425,-83.79158050,328
CEF4,51.26230975,-113.93598938,1112
42MO,38.12310916,-90.38901056,216
LFDA,43.71013850,-0.24652750,79
LF01,50.64242500,2.44242800,22
2IS,26.74194450,-81.04972200,6
09N,41.83259305,-73.87596778,137
KLVN,44.62785800,-93.22809700,293
1H1,43.20506805,-76.17881445,117
2VA9,38.75789400,-77.78721700,159
OK93,36.33342666,-95.88360139,212
0GA2,34.37788194,-82.94569889,219
04MO,39.30115250,-91.45154278,234
1F7,32.81401527,-96.35220417,155
20KS,37.67585138,-96.88531001,408
MT05,45.70606194,-108.62236112,972
48X,27.64253277,-82.52092917,8
AZ79,33.53004111,-112.21654251,339
45XS,34.91894611,-101.90269001,1101
D93,42.85006722,-76.84967973,180
SC15,32.63212750,-80.50399306,6
6NY3,42.64395972,-76.72967251,245
SYAH,-2.47333290,-59.32083130,179
ATP,-3.14301662,142.34665329,3
KAIT,46.54802625,-93.67760500,367
NCAI,-18.83707760,-159.76102581,6
LFLB,45.63623446,5.88089763,237
AYAY,-6.34183300,145.90433300,1554
VEAZ,23.74660150,92.80276700,305
DN51,7.45723750,6.46112900,189
SJYF,2.00777778,-61.47583333,181
SDIR,1.88750000,-62.01833333,41
OR46,45.38318333,-120.46782445,660
6AR2,35.02036694,-93.06489667,113
